generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2450000,58,280.31,-6942.24,44.1731,0.284
2460000,59,269.493,-6955.41,45.0862,0.2885
2470000,55,247.672,-6959.38,61.1679,0.3031
2480000,46,211.365,-6961.99,44.5514,0.2577
2490000,47,206.088,-6960.38,52.0157,0.2649
2500000,43,185.295,-6958.76,40.6072,0.2722
2510000,45,203.041,-6972.31,44.1668,0.2596
2520000,55,274.984,-6967.08,51.2249,0.269
2530000,53,264.092,-6960.78,53.4643,0.3007
2540000,53,258.981,-6982.35,44.951,0.2942
2550000,52,249.246,-6964.75,40.0866,0.2824
2560000,56,262.9,-6971.73,59.2556,0.2807
2570000,47,222.313,-6973.01,37.559,0.2806
2580000,55,256.933,-6963.25,60.1957,0.2789
2590000,52,236.864,-6981.58,56.6811,0.2781
2600000,48,222.364,-6981.09,45.7649,0.2884
2610000,56,281.46,-6979.69,58.1967,0.2937
2620000,52,247.573,-6967.73,59.4012,0.29
2630000,45,208.578,-6983.53,41.373,0.2818
2640000,54,269.094,-6976.32,50.9646,0.3071
2650000,59,288.39,-6967.77,57.8179,0.2998
2660000,52,250.823,-6971.64,58.641,0.2849
2670000,57,273.426,-6968.57,43.6285,0.2813
2680000,67,335.36,-6945.14,87.6237,0.2939
2690000,65,313.828,-6959.33,61.2547,0.2933
2700000,60,295.635,-6946.86,49.0181,0.2892
2710000,56,270.644,-6947.18,59.9788,0.284
2720000,53,258.258,-6961.09,40.6134,0.285
2730000,51,245.584,-6948.27,48.8229,0.2815
2740000,57,275.933,-6955.6,51.7104,0.2811
2750000,57,281.976,-6947.63,45.5705,0.2916
2760000,57,275.484,-6962.61,55.4153,0.2916
2770000,57,275.204,-6951.87,58.1903,0.3014
2780000,51,237.083,-6961.36,54.9271,0.2688
2790000,47,220.243,-6963.72,41.0766,0.2677
2800000,47,219.461,-6964.7,49.5274,0.2813
2810000,57,280.984,-6950.73,59.6828,0.2743
2820000,54,262.704,-6969.59,52.1622,0.2929
2830000,48,230.429,-6968.72,50.3802,0.2654
2840000,54,261.826,-6967.07,59.4135,0.2881
2850000,52,244.759,-6967.96,44.4051,0.2918
2860000,48,229.495,-6964.04,52.4514,0.2838
2870000,48,222.527,-6967,49.2103,0.2671
2880000,51,245.368,-6954.76,55.122,0.2718
2890000,51,230.113,-6951.85,42.9213,0.2801
2900000,48,215.727,-6958.25,49.0695,0.2771
2910000,56,266.948,-6948.42,51.477,0.2731
2920000,50,230.418,-6964.99,53.5676,0.2563
2930000,53,245.584,-6955.94,50.5486,0.27
2940000,51,238.775,-6944.76,51.9609,0.2645
2950000,50,235.715,-6942.32,43.1995,0.2695
2960000,49,231.361,-6950.01,51.0065,0.287
2970000,54,236.012,-6954.31,58.8354,0.2779
2980000,46,200.506,-6969.7,54.2038,0.2698
2990000,53,254.943,-6957.08,54.1615,0.2748
3000000,51,234.289,-6960.54,45.6705,0.2769
3010000,53,249.313,-6958.38,52.4248,0.2823
3020000,56,273.275,-6955.48,54.8383,0.2864
3030000,50,230.002,-6957.67,55.2548,0.2862
3040000,45,206.221,-6960.05,40.8057,0.2625
3050000,49,220.25,-6945.32,52.4307,0.2523
3060000,48,214.153,-6961.09,51.5344,0.2784
3070000,49,234.467,-6962.33,48.2176,0.2652
3080000,40,176.653,-6973.24,37.3161,0.243
3090000,48,223.135,-6972.05,40.6254,0.244
3100000,50,239.605,-6970.41,40.5056,0.2717
3110000,55,252.612,-6954.29,51.6702,0.2836
3120000,49,233.356,-6961.1,37.9946,0.2645
3130000,47,220.993,-6962.23,36.6849,0.2726
3140000,57,277.202,-6975.77,64.6587,0.2866
3150000,47,224.856,-6974.71,38.2449,0.2666
3160000,50,239.32,-6957.74,51.63,0.2755
3170000,52,252.208,-6961.86,58.8547,0.2819
3180000,48,236.435,-6977.95,42.4112,0.2752
3190000,44,212.88,-6967.52,48.2454,0.2644
3200000,48,226.036,-6968.09,50.8417,0.2759
3210000,46,222.754,-6967.56,41.7303,0.2952
3220000,50,233.81,-6966.27,41.7952,0.2749
3230000,49,233.84,-6975.05,40.3469,0.2635
3240000,58,277.427,-6960.63,52.4018,0.2956
3250000,53,254.396,-6960.23,43.6471,0.2863
