generation,rank_1,rank_2,swapAccepted
709000,1,4,0
710000,1,4,0
711000,3,4,1
712000,4,6,0
713000,4,5,1
714000,4,6,1
715000,1,2,0
716000,2,5,0
717000,3,6,1
718000,2,5,0
719000,4,6,1
720000,1,5,0
721000,5,6,0
722000,1,2,0
723000,2,4,0
724000,2,4,0
725000,5,6,0
726000,3,5,1
727000,1,6,0
728000,2,6,0
729000,2,4,0
730000,4,5,1
731000,3,5,1
732000,5,6,0
733000,1,4,0
734000,2,6,0
735000,4,5,1
736000,2,5,0
737000,1,2,0
738000,1,6,0
739000,1,2,0
740000,5,6,0
741000,1,4,0
742000,3,4,0
743000,3,6,0
744000,2,3,1
745000,1,5,0
746000,1,2,0
747000,1,6,0
748000,2,4,1
749000,2,5,0
750000,2,6,0
751000,2,4,1
752000,2,5,0
753000,3,4,0
754000,1,3,0
755000,3,4,0
756000,2,4,1
757000,3,4,0
758000,3,4,0
759000,5,6,0
760000,3,4,0
761000,1,6,0
762000,1,5,0
763000,4,5,1
764000,1,3,0
765000,1,2,0
766000,1,5,0
767000,4,5,1
768000,2,3,1
769000,2,5,0
770000,3,5,0
771000,3,5,0
772000,2,5,0
773000,3,5,0
774000,5,6,0
775000,3,6,0
776000,3,4,0
777000,3,6,0
778000,2,6,0
779000,1,6,0
780000,1,5,0
781000,4,5,0
782000,2,6,0
783000,1,5,0
784000,1,2,0
785000,3,6,0
786000,3,4,1
787000,2,6,0
788000,1,6,0
789000,1,2,0
790000,4,6,0
791000,2,5,0
792000,2,4,0
793000,2,4,1
794000,4,5,0
795000,5,6,1
796000,1,5,0
797000,2,6,1
798000,2,6,1
799000,2,5,0
800000,5,6,1
801000,1,5,0
802000,1,5,0
803000,1,6,0
804000,2,4,0
805000,3,6,0
806000,2,3,1
807000,4,6,0
808000,2,6,0
809000,2,4,0
810000,2,3,0
811000,3,4,1
812000,3,4,1
813000,2,3,1
814000,3,6,0
815000,3,6,0
816000,1,3,0
817000,2,3,1
818000,1,6,0
819000,4,5,0
820000,3,6,0
821000,2,6,0
822000,2,4,1
823000,2,5,0
824000,2,6,0
825000,1,2,0
826000,3,4,1
827000,4,6,0
828000,4,6,0
829000,1,6,0
830000,1,3,0
831000,3,6,0
832000,3,4,1
833000,1,6,0
834000,4,6,0
835000,2,6,0
836000,3,6,0
837000,3,5,0
838000,3,4,1
839000,4,6,0
840000,3,6,0
841000,1,2,0
842000,1,2,0
843000,3,5,0
844000,3,4,0
845000,2,3,1
846000,2,3,1
847000,2,5,0
848000,1,6,0
849000,2,6,0
850000,4,6,0
851000,2,6,0
852000,3,6,0
853000,3,6,0
854000,2,5,0
855000,2,5,0
856000,2,5,0
857000,2,3,0
858000,4,6,0
859000,4,6,0
860000,4,5,0
861000,3,4,0
862000,1,2,0
863000,1,2,0
864000,1,5,0
865000,1,5,0
866000,2,6,0
867000,1,6,0
868000,2,6,0
869000,1,5,0
870000,2,6,0
871000,1,3,0
872000,4,5,0
873000,4,6,0
874000,1,4,0
875000,3,5,0
876000,1,3,0
877000,1,5,0
878000,4,6,0
879000,2,6,0
880000,5,6,0
881000,5,6,1
882000,3,5,0
883000,3,5,0
884000,1,3,0
885000,1,5,0
886000,3,6,0
887000,2,4,0
888000,1,4,0
889000,4,5,1
890000,3,5,0
891000,4,6,1
892000,2,3,0
893000,5,6,0
894000,1,4,0
895000,4,5,1
896000,2,6,0
897000,4,6,0
898000,3,5,0
899000,2,3,0
900000,1,5,0
901000,1,3,0
902000,3,4,1
903000,1,4,0
904000,4,6,0
905000,2,4,0
906000,1,6,0
907000,1,6,0
908000,4,5,0
909000,1,5,0
910000,1,6,0
911000,1,3,0
912000,1,5,0
913000,2,3,1
914000,1,6,0
915000,1,6,0
916000,5,6,1
917000,1,4,0
918000,4,6,0
919000,1,5,0
920000,1,5,0
921000,1,4,0
922000,5,6,1
923000,2,4,0
924000,2,4,0
925000,4,6,0
926000,3,6,0
927000,2,6,0
928000,3,5,0
929000,1,3,0
930000,1,4,0
931000,2,3,1
932000,4,5,0
933000,2,3,0
934000,4,5,0
935000,1,2,0
936000,1,6,0
937000,2,3,0
938000,4,6,0
939000,1,3,0
940000,3,4,1
941000,4,6,0
942000,2,4,0
943000,1,6,0
944000,3,5,0
945000,1,3,0
946000,3,5,0
947000,1,3,0
948000,5,6,0
949000,1,4,0
950000,4,5,0
951000,3,5,0
952000,1,3,0
953000,2,4,0
954000,1,4,0
955000,1,2,0
956000,5,6,0
957000,3,4,1
958000,4,5,1
959000,3,5,1
960000,2,4,0
961000,1,2,0
962000,2,6,0
963000,1,5,0
964000,1,5,0
965000,2,4,0
966000,1,5,0
967000,4,5,0
968000,1,6,0
969000,1,4,0
970000,4,6,0
971000,3,4,0
972000,1,2,0
973000,3,5,0
974000,1,5,0
975000,1,6,0
976000,2,5,0
977000,3,6,0
978000,2,5,0
979000,2,3,0
980000,4,5,1
981000,1,6,0
982000,2,6,0
983000,1,2,0
984000,3,4,1
985000,2,4,0
986000,3,4,1
987000,3,6,0
988000,3,4,0
989000,5,6,1
990000,1,4,0
991000,4,6,0
992000,4,6,0
993000,4,6,0
994000,1,2,0
995000,1,6,0
996000,1,5,0
997000,5,6,0
998000,1,5,0
999000,4,6,0
1000000,2,5,0
1001000,2,5,0
1002000,1,5,0
1003000,2,6,0
1004000,5,6,0
1005000,1,3,0
1006000,2,4,0
1007000,2,6,0
1008000,1,6,0
1009000,3,4,0
1010000,1,3,0
1011000,1,2,0
1012000,2,3,0
1013000,2,6,0
1014000,2,3,1
1015000,2,3,1
1016000,2,4,0
1017000,2,4,0
1018000,2,5,0
1019000,2,5,0
1020000,1,3,0
1021000,1,3,0
1022000,5,6,1
1023000,1,5,0
1024000,5,6,1
1025000,4,6,1
1026000,3,5,1
1027000,4,5,1
1028000,2,6,0
1029000,3,4,1
1030000,1,4,0
1031000,1,5,0
1032000,3,4,0
1033000,3,4,0
1034000,2,4,0
1035000,1,5,0
1036000,4,6,0
1037000,4,6,0
1038000,3,6,0
1039000,5,6,0
1040000,2,6,0
1041000,1,3,0
1042000,1,3,0
1043000,1,6,0
1044000,2,4,0
1045000,2,3,1
1046000,3,4,0
1047000,1,3,0
1048000,3,6,0
1049000,2,4,0
1050000,2,4,0
1051000,5,6,1
1052000,2,3,0
1053000,1,3,0
1054000,1,6,0
1055000,2,4,0
1056000,4,5,1
1057000,4,6,1
1058000,3,5,1
1059000,1,6,0
1060000,3,4,0
1061000,2,5,0
1062000,2,4,0
1063000,1,6,0
1064000,2,6,0
1065000,2,3,0
1066000,4,5,1
1067000,2,4,0
1068000,1,4,0
1069000,3,4,0
1070000,1,3,0
1071000,3,6,0
1072000,1,3,0
1073000,1,3,0
1074000,1,3,0
1075000,1,6,0
1076000,2,4,0
1077000,2,5,0
1078000,2,3,0
1079000,3,6,0
1080000,1,5,0
1081000,5,6,1
1082000,2,4,0
1083000,2,5,0
1084000,3,4,0
1085000,4,6,0
1086000,2,5,0
1087000,3,6,0
1088000,3,5,0
1089000,2,6,0
1090000,1,6,0
1091000,4,6,0
1092000,1,2,0
1093000,5,6,1
1094000,2,6,0
1095000,1,5,0
1096000,1,6,0
1097000,2,4,0
1098000,1,3,0
1099000,3,6,0
1100000,1,4,0
1101000,2,3,0
1102000,1,4,0
1103000,4,6,0
1104000,1,2,0
1105000,4,5,0
1106000,2,6,0
1107000,1,5,0
1108000,4,6,1
1109000,1,5,0
