generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1840000,21,81.6656,-5735.02,20.9527,0.2715
1850000,17,56.5885,-5742.77,24.6486,0.2688
1860000,23,83.3523,-5735.34,19.2217,0.2707
1870000,21,59.3937,-5740.29,25.7753,0.273
1880000,18,53.0026,-5740.76,18.5342,0.2662
1890000,22,75.6596,-5733.97,18.6144,0.2404
1900000,20,57.5377,-5730.1,20.2688,0.2517
1910000,19,57.1386,-5740.13,18.3531,0.2663
1920000,17,51.5387,-5749.43,17.6052,0.2412
1930000,18,51.8632,-5735.18,13.7665,0.265
1940000,22,66.8479,-5742.07,17.3538,0.2569
1950000,21,77.1407,-5751.74,14.1315,0.2681
1960000,17,52.812,-5759.9,13.4386,0.2635
1970000,20,65.0471,-5761.25,13.8699,0.2501
1980000,15,50.4776,-5768.81,17.1498,0.2645
1990000,18,55.8046,-5750.94,15.876,0.2737
2000000,19,63.8175,-5762.2,20.59,0.2631
2010000,12,24.4683,-5755.28,12.5015,0.239795
2020000,13,30.9376,-5745.08,8.89699,0.2632
2030000,13,32.4627,-5745.71,11.0959,0.2261
2040000,14,35.8962,-5743.81,14.0697,0.2533
2050000,14,33.3628,-5742.99,10.531,0.26
2060000,14,38.6667,-5744.61,11.4842,0.2447
2070000,15,43.2861,-5751.41,15.6079,0.259643
2080000,14,41.9523,-5764.16,11.8014,0.2552
2090000,16,60.1757,-5752.76,18.0592,0.2486
2100000,15,55.8845,-5758.15,12.4278,0.2702
2110000,18,69.0968,-5748.45,17.8987,0.2649
2120000,19,77.0648,-5744.56,26.4549,0.2598
2130000,19,64.4041,-5753.38,18.2141,0.2713
2140000,23,92.5754,-5743.06,29.9365,0.3083
2150000,18,63.0211,-5752.06,23.0271,0.2943
2160000,17,62.5316,-5749.68,15.9126,0.2569
2170000,19,68.0587,-5742.88,21.1594,0.2666
2180000,16,50.0883,-5747.43,16.8727,0.2535
2190000,18,51.5687,-5745.86,16.8065,0.2514
2200000,16,54.6268,-5745.54,11.1053,0.2601
2210000,18,61.8617,-5740.79,13.6371,0.264
2220000,20,67.6243,-5741.3,16.5498,0.2679
2230000,17,52.5323,-5732.37,12.3623,0.2657
2240000,18,50.473,-5737.36,19.218,0.2547
2250000,20,71.9236,-5745.96,19.0229,0.2699
2260000,14,38.5647,-5744.89,7.30049,0.2415
2270000,15,37.9433,-5747.81,16.4284,0.2399
2280000,15,36.4083,-5738.29,10.7914,0.2515
2290000,18,62.232,-5745.01,21.5737,0.251
2300000,13,34.7669,-5753.73,12.8693,0.251304
